RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,4,-265.08,-6.336,762.773,-11.44,529.59,19774,R20MZ_IA-4_FZ_250_filtered
25,12,0,-265.05,-3.201,425.56,-42.72,354.75,7397,R20MZ_FZ_250_filtered
25,12,0,-265.04,-4.51,290.03,-42.79,442.69,2381,R20MZ_FZ_250_filtered
25,12,0,-264.95,1.767,419.68,25.67,-219.41,6810,R20MZ_FZ_250_filtered
25,12,0,-264.94,-3.644,256.45,-43.45,389.96,1155,R20MZ_FZ_250_filtered
25,12,0,-264.93,-4.865,289.94,-42.59,460.07,2372,R20MZ_FZ_250_filtered
25,12,0,-264.92,-4.497,256.24,-43.68,441.75,1134,R20MZ_FZ_250_filtered
25,12,4,-264.85,-1.568,763.963,6.66,255.37,19893,R20MZ_IA-4_FZ_250_filtered
25,12,0,-264.84,-4.529,256.23,-43.21,444.85,1133,R20MZ_FZ_250_filtered
25,12,0,-264.83,5.597,283.52,33.25,-495.78,1731,R20MZ_FZ_250_filtered
25,12,0,-264.77,-5.343,289.82,-39.57,482.23,2360,R20MZ_FZ_250_filtered
25,12,0,-264.77,-2.748,290.47,-38.97,316.28,2425,R20MZ_FZ_250_filtered
25,12,0,-264.77,4.409,419.02,38.4,-444.45,6744,R20MZ_FZ_250_filtered
25,12,-0,-264.75,6.71,418.44,30.82,-547.25,6686,R20MZ_FZ_250_filtered
25,12,0,-264.72,4.237,283.86,38.68,-429.1,1765,R20MZ_FZ_250_filtered
25,12,0,-264.67,6.573,249.47,30.68,-536.09,458,R20MZ_FZ_250_filtered
25,12,0,-264.65,-4.106,425.33,-44.82,421.75,7374,R20MZ_FZ_250_filtered
25,12,0,-264.6,6.993,283.17,29.24,-548.96,1696,R20MZ_FZ_250_filtered
25,12,0,-264.46,4.261,250.05,39.04,-433.9,516,R20MZ_FZ_250_filtered
25,12,0,-264.46,-2.717,425.68,-40.05,312.56,7409,R20MZ_FZ_250_filtered
25,12,0,-264.4,-1.29,257.04,-25.07,159.77,1214,R20MZ_FZ_250_filtered
25,12,0,-264.38,-3.033,290.4,-41.76,338,2418,R20MZ_FZ_250_filtered
25,12,0,-264.34,7.028,283.16,29.76,-549.73,1695,R20MZ_FZ_250_filtered
25,12,0,-264.32,4.118,419.09,41.95,-423.2,6751,R20MZ_FZ_250_filtered
25,12,0,-264.31,-5.83,289.7,-38,502.26,2348,R20MZ_FZ_250_filtered
25,12,0,-264.31,-3.63,290.25,-42.61,387.02,2403,R20MZ_FZ_250_filtered
25,12,4,-264.27,-2.348,763.773,-0.95,327.45,19874,R20MZ_IA-4_FZ_250_filtered
25,12,0,-264.26,5.911,418.64,35.53,-513.9,6706,R20MZ_FZ_250_filtered
25,12,0,-264.19,-3.207,256.56,-41.71,357.23,1166,R20MZ_FZ_250_filtered
25,12,-0,-264.18,-1.391,290.81,-25.48,175.46,2459,R20MZ_FZ_250_filtered
25,12,0,-264.12,-5.39,289.81,-38.95,484.41,2359,R20MZ_FZ_250_filtered
25,12,0,-264.1,-4.459,256.25,-44.19,439.12,1135,R20MZ_FZ_250_filtered
25,12,0,-264.1,5.102,283.64,35.59,-473.75,1743,R20MZ_FZ_250_filtered
25,12,0,-264.08,-0.861,290.95,-15.03,105.17,2473,R20MZ_FZ_250_filtered
25,12,0,-264.07,6.532,249.48,30.18,-534.37,459,R20MZ_FZ_250_filtered
25,12,0,-263.98,-5.32,289.83,-40.6,480.08,2361,R20MZ_FZ_250_filtered
25,12,0,-263.96,-5.782,289.71,-38.51,499.92,2349,R20MZ_FZ_250_filtered
25,12,0,-263.87,-3.951,290.17,-44.56,407.18,2395,R20MZ_FZ_250_filtered
25,12,0,-263.81,7.461,283.05,28.75,-562.29,1684,R20MZ_FZ_250_filtered
25,12,0,-263.8,-2.323,290.58,-34.87,275.04,2436,R20MZ_FZ_250_filtered
25,12,0,-263.77,3.305,284.09,38.22,-362.87,1788,R20MZ_FZ_250_filtered
25,12,0,-263.7,5.74,283.48,35.13,-498.38,1727,R20MZ_FZ_250_filtered
25,12,0,-263.67,3.064,250.35,39.9,-341.3,546,R20MZ_FZ_250_filtered
25,12,0,-263.67,1.854,419.66,28.8,-224.21,6808,R20MZ_FZ_250_filtered
25,12,0,-263.64,5.283,249.79,36.91,-481.79,490,R20MZ_FZ_250_filtered
25,12,0,-263.61,-5.96,424.87,-38.44,511.41,7328,R20MZ_FZ_250_filtered
25,12,0,-263.59,3.926,250.13,41.68,-409.38,524,R20MZ_FZ_250_filtered
25,12,0,-263.57,-0.873,257.15,-15.59,107.52,1225,R20MZ_FZ_250_filtered
25,12,0,-263.56,-5.108,425.08,-40.35,476.81,7349,R20MZ_FZ_250_filtered
25,12,0,-263.55,7.158,418.33,28.83,-559.18,6675,R20MZ_FZ_250_filtered
25,12,0,-263.53,2.137,419.58,32.92,-260.51,6800,R20MZ_FZ_250_filtered
25,12,0,-263.52,-4.396,290.06,-44.92,434.65,2384,R20MZ_FZ_250_filtered
25,12,0,-263.51,5.121,249.83,35.89,-477.78,494,R20MZ_FZ_250_filtered
25,12,4,-263.5,-6.787,762.663,-5.26,542.69,19763,R20MZ_IA-4_FZ_250_filtered
25,12,0,-263.49,6.167,249.57,33.58,-519.64,468,R20MZ_FZ_250_filtered
25,12,2,-263.48,-6.445,593.747,-23.93,534.93,13544,R20MZ_IA-2_FZ_250_filtered
25,12,0,-263.43,3.952,283.93,41.76,-406.44,1772,R20MZ_FZ_250_filtered
25,12,4,-263.42,4.744,756.923,62.79,-400.29,19190,R20MZ_IA-4_FZ_250_filtered
25,12,0,-263.38,-4.997,425.11,-41.96,469.38,7352,R20MZ_FZ_250_filtered
25,12,0,-263.36,-4.892,256.14,-43.09,462.25,1124,R20MZ_FZ_250_filtered
25,12,0,-263.3,6.667,418.45,30.08,-544.61,6687,R20MZ_FZ_250_filtered
25,12,0,-263.29,4.864,283.7,39.87,-458.06,1749,R20MZ_FZ_250_filtered
25,12,0,-263.23,1.993,284.42,30.04,-241.59,1821,R20MZ_FZ_250_filtered
25,12,0,-263.13,-3.535,256.48,-44.33,379.89,1158,R20MZ_FZ_250_filtered
25,12,0,-263.09,-5.435,425,-39.72,489.08,7341,R20MZ_FZ_250_filtered
25,12,0,-263.04,-5.751,289.72,-38.93,497.77,2350,R20MZ_FZ_250_filtered
25,12,0,-263.01,6.615,249.46,30.58,-536.07,457,R20MZ_FZ_250_filtered
25,12,2,-263,2.728,588.438,50.36,-278.27,13014,R20MZ_IA-2_FZ_250_filtered
25,12,0,-262.99,7.615,418.21,27.17,-571.58,6663,R20MZ_FZ_250_filtered
25,12,0,-262.93,-5.992,424.86,-37.9,513.43,7327,R20MZ_FZ_250_filtered
25,12,0,-262.9,7.217,418.31,30.43,-561.36,6673,R20MZ_FZ_250_filtered
25,12,0,-262.87,7.007,249.36,29.23,-548.01,447,R20MZ_FZ_250_filtered
25,12,0,-262.86,-4.576,256.22,-42.38,447.67,1132,R20MZ_FZ_250_filtered
25,12,0,-262.84,7.658,418.2,27.72,-572.83,6662,R20MZ_FZ_250_filtered
25,12,0,-262.83,-5.863,289.69,-37.1,504.28,2347,R20MZ_FZ_250_filtered
25,12,0,-262.81,-4.84,289.95,-42.8,457.76,2373,R20MZ_FZ_250_filtered
25,12,0,-262.76,3.505,284.04,41.14,-374.03,1783,R20MZ_FZ_250_filtered
25,12,0,-262.7,-3.79,425.41,-42.62,403.46,7382,R20MZ_FZ_250_filtered
25,12,0,-262.68,-3.965,256.37,-45.1,410.76,1147,R20MZ_FZ_250_filtered
25,12,0,-262.65,5.258,418.8,35,-486.76,6722,R20MZ_FZ_250_filtered
25,12,0,-262.64,-5.802,255.91,-38.57,502.58,1101,R20MZ_FZ_250_filtered
25,12,0,-262.63,4.844,249.9,39.54,-461.16,501,R20MZ_FZ_250_filtered
25,12,0,-262.63,-5.913,424.88,-38.8,509.55,7329,R20MZ_FZ_250_filtered
25,12,0,-262.59,-4.068,425.34,-44.51,419.29,7375,R20MZ_FZ_250_filtered
25,12,0,-262.51,-0.995,257.12,-17.52,126.61,1222,R20MZ_FZ_250_filtered
25,12,0,-262.51,-5.425,289.8,-37.95,486.75,2358,R20MZ_FZ_250_filtered
25,12,0,-262.51,-4.998,289.91,-40.51,467.68,2369,R20MZ_FZ_250_filtered
25,12,0,-262.51,2.814,419.42,36.87,-318.18,6784,R20MZ_FZ_250_filtered
25,12,2,-262.51,-6.869,593.647,-19.25,547.14,13534,R20MZ_IA-2_FZ_250_filtered
25,12,0,-262.47,-4.558,290.02,-42.26,445.96,2380,R20MZ_FZ_250_filtered
25,12,0,-262.34,2.648,284.26,35.48,-298.32,1805,R20MZ_FZ_250_filtered
25,12,0,-262.33,-4.119,290.13,-42.68,419.91,2391,R20MZ_FZ_250_filtered
25,12,0,-262.31,5.588,249.72,32.71,-495.91,483,R20MZ_FZ_250_filtered
25,12,2,-262.24,2.061,588.598,46.58,-214.68,13030,R20MZ_IA-2_FZ_250_filtered
25,12,0,-262.23,7.056,283.15,29.89,-549.41,1694,R20MZ_FZ_250_filtered
25,12,0,-262.2,-5.264,289.84,-40.45,478.07,2362,R20MZ_FZ_250_filtered
25,12,0,-262.16,-1.662,290.74,-30.51,203.23,2452,R20MZ_FZ_250_filtered
25,12,0,-262.09,6.968,249.37,28.32,-546.47,448,R20MZ_FZ_250_filtered
25,12,2,-262.06,-6.211,593.807,-27.63,526.06,13550,R20MZ_IA-2_FZ_250_filtered
25,12,-0,-261.96,5.557,283.53,32.54,-491.71,1732,R20MZ_FZ_250_filtered
25,12,0,-261.94,6.186,418.57,31.98,-526.46,6699,R20MZ_FZ_250_filtered
25,12,0,-261.92,7.485,249.24,27.54,-559.48,435,R20MZ_FZ_250_filtered
25,12,0,-261.87,-4.132,256.33,-43.38,422.54,1143,R20MZ_FZ_250_filtered
25,12,0,-261.86,7.044,249.35,29.66,-548.47,446,R20MZ_FZ_250_filtered
25,12,0,-261.76,7.576,418.22,26.74,-568.79,6664,R20MZ_FZ_250_filtered
25,12,2,-261.73,-6.486,593.737,-22.99,536.28,13543,R20MZ_IA-2_FZ_250_filtered
25,12,0,-261.71,6.465,283.3,30.04,-529.55,1709,R20MZ_FZ_250_filtered
25,12,0,-261.6,-1.681,256.94,-31.09,206.65,1204,R20MZ_FZ_250_filtered
25,12,0,-261.6,-3.91,290.18,-44.4,404.87,2396,R20MZ_FZ_250_filtered
25,12,0,-261.52,7.881,282.95,22.87,-568.48,1674,R20MZ_FZ_250_filtered
25,12,0,-261.51,-3.158,425.57,-42.32,352.45,7398,R20MZ_FZ_250_filtered
25,12,0,-261.5,1.122,250.83,20.94,-151.79,594,R20MZ_FZ_250_filtered
25,12,0,-261.5,-3.253,256.55,-41.63,361.75,1165,R20MZ_FZ_250_filtered
25,12,0,-261.45,-3.665,290.24,-42.27,391.23,2402,R20MZ_FZ_250_filtered
25,12,0,-261.44,8.374,282.82,26.15,-577.79,1661,R20MZ_FZ_250_filtered
25,12,0,-261.43,5.719,418.69,32.78,-505.98,6711,R20MZ_FZ_250_filtered
25,12,0,-261.4,-2.992,290.41,-41.36,335.54,2419,R20MZ_FZ_250_filtered
25,12,0,-261.35,-0.449,291.04,-10.37,60.23,2482,R20MZ_FZ_250_filtered
25,12,0,-261.33,-0.81,290.96,-14.54,100.56,2474,R20MZ_FZ_250_filtered
25,12,0,-261.25,-0.384,257.26,-10.87,48.13,1236,R20MZ_FZ_250_filtered
25,12,0,-261.24,5.783,283.47,34.87,-498.06,1726,R20MZ_FZ_250_filtered
25,12,0,-261.17,7.438,249.25,27.35,-558.24,436,R20MZ_FZ_250_filtered
