AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.6,1056.734,-0.28,-266.2,-102.56,0.009,0.57,5.66,0.03,0.0027,2.5954,10.05,158672.19,7.8,93.47,8.003,-0,-1,126.71,126.46,128.05,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27608
78.58,1056.744,0.7,-261.85,-101.88,0.01,1.27,4.66,0.16,-0.0069,2.5701,10.03,25524.04,7.8,93.46,8.043,-0,-0.9997,126.73,126.49,128.07,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27609
78.59,1056.754,1.5,-255.74,-99.77,-0,2.02,3.76,0.09,-0.0151,2.5633,10.03,43950.61,7.8,93.5,8.081,-0,-0.9998,126.82,126.55,128.03,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27610
78.61,1056.764,1.84,-250.4,-96.81,-0.009,2.27,3.11,0.16,-0.019,2.5865,10.04,25495.17,7.8,93.5,8.124,-0,-0.9997,126.95,126.57,127.95,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27611
78.59,1056.774,2.18,-247.49,-95.04,0.004,2.93,3.52,0.09,-0.023,2.604,10.03,43890.17,7.8,93.51,8.165,-0,-0.9998,126.95,126.64,127.89,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27612
78.58,1056.784,1.71,-247.95,-93.71,0.006,3.13,4.08,0.09,-0.0182,2.646,10.04,43864.45,7.8,93.5,8.212,-0,-0.9998,127.03,126.71,127.81,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27613
78.61,1056.794,0.48,-251.51,-93.87,0.003,2.93,4.6,0.03,-0.0051,2.6792,10.03,158279.95,7.8,93.49,8.245,-0,-1,127.14,126.86,127.79,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27614
78.61,1056.804,-1.14,-256.45,-95.26,-0.009,2.64,4.81,0.03,0.012,2.692,10.02,158262.86,7.8,93.5,8.287,-0,-1,127.29,126.95,127.79,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27615
78.58,1056.814,-2.45,-261.31,-97.15,-0.002,1.48,5.05,0.16,0.0252,2.6896,10.03,25445.71,7.8,93.48,8.336,-0,-0.9997,127.46,127.06,127.81,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27616
78.6,1056.824,-2.68,-264.78,-99.29,0.007,0.8,5.28,0.09,0.0269,2.6667,10.05,43836.25,7.8,93.49,8.37,-0,-0.9998,127.48,127.08,127.89,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27617
