AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.3,760.163,-2.7,-370.22,-202.89,0.006,13.14,26.48,0.25,0.0133,1.8248,12.26,16875.78,7.6,97.41,4.155,-0,-0.9995,143.44,142.27,137.21,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21703
79.28,760.173,-3.58,-367.28,-201.74,0.009,12.5,27.12,0.11,0.0177,1.8206,12.38,37558.79,7.61,97.38,4.123,-0,-0.9998,143.34,142.22,137.19,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21704
79.29,760.183,-4.82,-364.94,-202.42,-0,13.13,27.64,0.18,0.0238,1.8029,12.45,23307.84,7.61,97.34,4.083,-0,-0.9997,143.27,142.27,137.21,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21705
79.31,760.193,-5.68,-363.12,-203.26,0.014,13.27,28.34,-0.03,0.0279,1.7865,12.45,-167439.69,7.6,97.34,4.04,-0,-1,143.27,142.31,137.33,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21706
79.29,760.203,-6.09,-362.18,-204.5,0.006,12.72,28.82,0.04,0.0298,1.7711,12.38,96988.08,7.61,97.36,4,-0,-0.9999,143.19,142.16,137.47,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21707
79.26,760.213,-5.84,-361.42,-206.06,0.007,12.7,29.17,0.18,0.0283,1.754,12.24,23327.37,7.61,97.42,3.957,-0,-0.9997,142.95,141.98,137.69,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21708
79.3,760.223,-5.25,-360.97,-208.04,0.007,13.02,29.17,0.11,0.0252,1.7351,12.09,37593.82,7.61,97.45,3.914,-0,-0.9998,142.8,141.81,137.83,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21709
79.31,760.233,-3.54,-360.03,-208.38,-0,12.4,29.67,0.04,0.017,1.7278,12,97001.05,7.61,97.47,3.88,-0,-0.9999,142.54,141.65,138.01,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21710
79.27,760.243,-2.27,-358.5,-208.92,0.014,12.84,29.76,0.04,0.0109,1.716,12.01,96982.82,7.61,97.5,3.84,-0,-0.9999,142.48,141.56,137.97,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21711
79.28,760.253,-1.84,-356.15,-206.94,0.004,11.72,28.93,0.04,0.0089,1.721,12.06,96986.7,7.61,97.5,3.802,-0,-0.9999,142.35,141.48,137.99,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21712
79.31,760.263,-1.43,-352.56,-205.17,-0.002,11.8,28.74,0.11,0.007,1.7183,12.16,37608.92,7.61,97.48,3.757,-0,-0.9998,142.18,141.5,137.91,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21713
79.3,760.273,-2.09,-348.83,-203.84,0.004,11.98,28.17,0.04,0.0103,1.7113,12.28,96972.33,7.61,97.47,3.724,-0,-0.9999,141.99,141.39,137.87,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21714
79.27,760.283,-3.02,-345.1,-202.72,0.006,11.99,28.05,0.04,0.0149,1.7024,12.33,96975.94,7.61,97.42,3.688,-0,-0.9999,141.92,141.39,137.77,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21715
79.3,760.293,-3.99,-341.69,-202.41,0.006,12.32,28.65,0.11,0.0197,1.6881,12.32,37596.53,7.61,97.37,3.628,-0,-0.9998,141.88,141.41,137.73,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21716
79.3,760.303,-5.04,-339.39,-203.38,0.016,12.2,28.96,0.18,0.0248,1.6688,12.27,23330.91,7.61,97.34,3.596,-0,-0.9997,141.81,141.48,137.79,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21717
79.28,760.313,-5.83,-337.2,-204.79,-0,12.77,29.02,0.04,0.0285,1.6465,12.16,97011.62,7.61,97.34,3.553,-0,-0.9999,141.79,141.34,137.93,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21718
79.28,760.323,-6.17,-336.29,-206.07,-0.002,11.51,29.01,0.11,0.03,1.6319,12.05,37592.07,7.61,97.33,3.515,-0,-0.9998,141.64,141.15,138.1,25.02,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21719
79.31,760.333,-5.69,-334.9,-207.69,0.001,11.86,28.99,0.11,0.0274,1.6125,12,37567.41,7.61,97.32,3.475,-0,-0.9998,141.47,140.9,138.26,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21720
